"zip_code","year","tot_crime"
60646,"1994",1
60646,"1995",1
60646,"1998",1
60646,"2002",2
60646,"2009",1
60646,"2010",1
60646,"2014",1
60646,"2016",1
60646,"2018",1
60646,"2020",3
60646,"2021",1
60647,"1991",24
60647,"1992",18
60647,"1993",31
60647,"1994",21
60647,"1995",29
60647,"1996",13
60647,"1997",16
60647,"1998",17
60647,"1999",20
60647,"2000",15
60647,"2001",17
60647,"2002",17
60647,"2003",22
60647,"2004",11
60647,"2005",13
60647,"2006",11
60647,"2007",6
60647,"2008",10
60647,"2009",8
60647,"2010",43
60647,"2011",38
60647,"2012",41
60647,"2013",37
60647,"2014",61
60647,"2015",31
60647,"2016",42
60647,"2017",37
60647,"2018",50
60647,"2019",30
60647,"2020",33
60647,"2021",43
60647,"2022",5
60649,"1991",25
60649,"1992",26
60649,"1993",34
60649,"1994",45
60649,"1995",26
60649,"1996",24
60649,"1997",27
60649,"1998",21
60649,"1999",17
60649,"2000",18
60649,"2001",23
60649,"2002",17
60649,"2003",24
60649,"2004",19
60649,"2005",21
60649,"2006",16
60649,"2007",14
60649,"2008",21
60649,"2009",14
60649,"2010",82
60649,"2011",87
60649,"2012",134
60649,"2013",92
60649,"2014",91
60649,"2015",76
60649,"2016",88
60649,"2017",106
60649,"2018",82
60649,"2019",77
60649,"2020",137
60649,"2021",156
60649,"2022",14
60651,"1991",30
60651,"1992",50
60651,"1993",39
60651,"1994",53
60651,"1995",42
60651,"1996",40
60651,"1997",34
60651,"1998",33
60651,"1999",35
60651,"2000",37
60651,"2001",43
60651,"2002",45
60651,"2003",31
60651,"2004",22
60651,"2005",14
60651,"2006",25
60651,"2007",27
60651,"2008",29
60651,"2009",30
60651,"2010",178
60651,"2011",131
60651,"2012",150
60651,"2013",105
60651,"2014",135
60651,"2015",182
60651,"2016",265
60651,"2017",227
60651,"2018",169
60651,"2019",162
60651,"2020",237
60651,"2021",178
60651,"2022",21
60652,"1991",2
60652,"1992",2
60652,"1993",5
60652,"1994",2
60652,"1995",1
60652,"1996",1
60652,"1997",2
60652,"1998",2
60652,"1999",4
60652,"2000",4
60652,"2001",3
60652,"2002",6
60652,"2003",3
60652,"2004",1
60652,"2005",1
60652,"2006",1
60652,"2007",1
60652,"2008",2
60652,"2009",4
60652,"2010",45
60652,"2011",26
60652,"2012",23
60652,"2013",18
60652,"2014",26
60652,"2015",37
60652,"2016",32
60652,"2017",15
60652,"2018",15
60652,"2019",18
60652,"2020",23
60652,"2021",30
60652,"2022",4
60653,"1991",53
60653,"1992",35
60653,"1993",38
60653,"1994",32
60653,"1995",15
60653,"1996",29
60653,"1997",23
60653,"1998",25
60653,"1999",28
60653,"2000",20
60653,"2001",12
60653,"2002",12
60653,"2003",7
60653,"2004",13
60653,"2005",8
60653,"2006",3
60653,"2007",9
60653,"2008",6
60653,"2009",9
60653,"2010",36
60653,"2011",61
60653,"2012",48
60653,"2013",38
60653,"2014",62
60653,"2015",58
60653,"2016",61
60653,"2017",48
60653,"2018",44
60653,"2019",40
60653,"2020",54
60653,"2021",66
60653,"2022",4
60654,"1992",1
60654,"1995",1
60654,"1998",1
60654,"1999",1
60654,"2003",3
60654,"2005",2
60654,"2006",1
60654,"2008",1
60654,"2010",1
60654,"2011",5
60654,"2012",4
60654,"2013",2
60654,"2014",7
60654,"2016",2
60654,"2017",3
60654,"2018",5
60654,"2019",5
60654,"2020",8
60654,"2021",22
60654,"2022",2
60655,"1991",1
60655,"1992",1
60655,"1995",2
60655,"1996",1
60655,"1997",1
60655,"2003",1
60655,"2005",1
60655,"2006",1
60655,"2013",1
60655,"2014",1
60655,"2017",1
60655,"2018",1
60655,"2020",3
60655,"2021",1
60656,"1994",2
60656,"1995",2
60656,"1998",1
60656,"2000",1
60656,"2006",1
60656,"2007",1
60656,"2012",3
60656,"2014",1
60656,"2015",1
60656,"2016",2
60656,"2017",3
60656,"2019",2
60656,"2020",1
60656,"2022",1
60657,"1991",10
60657,"1992",6
60657,"1993",2
60657,"1994",3
60657,"1995",2
60657,"1996",1
60657,"1998",1
60657,"1999",1
60657,"2000",2
60657,"2001",6
60657,"2003",3
60657,"2004",4
60657,"2005",1
60657,"2006",1
60657,"2007",4
60657,"2008",1
60657,"2010",4
60657,"2011",1
60657,"2012",1
60657,"2013",1
60657,"2014",4
60657,"2015",2
60657,"2016",14
60657,"2017",2
60657,"2018",1
60657,"2019",4
60657,"2020",4
60657,"2021",11
60657,"2022",1
60659,"1992",2
60659,"1993",5
60659,"1994",2
60659,"1995",4
60659,"1996",3
60659,"1997",2
60659,"1998",2
60659,"2000",2
60659,"2002",2
60659,"2003",1
60659,"2004",2
60659,"2006",1
60659,"2007",1
60659,"2009",2
60659,"2010",5
60659,"2011",4
60659,"2012",6
60659,"2013",5
60659,"2014",2
60659,"2015",6
60659,"2016",14
60659,"2017",4
60659,"2018",10
60659,"2019",3
60659,"2020",11
60659,"2021",13
60659,"2022",1
60660,"1991",7
60660,"1992",2
60660,"1993",6
60660,"1994",8
60660,"1995",4
60660,"1996",1
60660,"1997",3
60660,"1998",3
60660,"1999",1
60660,"2000",5
60660,"2001",2
60660,"2002",3
60660,"2003",4
60660,"2004",2
60660,"2005",3
60660,"2006",1
60660,"2007",2
60660,"2008",3
60660,"2010",8
60660,"2011",9
60660,"2012",10
60660,"2013",7
60660,"2014",5
60660,"2015",12
60660,"2016",6
60660,"2017",7
60660,"2018",1
60660,"2019",3
60660,"2020",6
60660,"2021",6
60660,"2022",1
60661,"1991",1
60661,"1994",2
60661,"1999",3
60661,"2000",1
60661,"2001",1
60661,"2006",3
60661,"2007",1
60661,"2010",2
60661,"2011",1
60661,"2012",2
60661,"2016",1
60661,"2018",3
60661,"2019",2
60661,"2021",1
60707,"1993",1
60707,"1995",2
60707,"1996",1
60707,"1998",1
60707,"1999",2
60707,"2000",2
60707,"2003",1
60707,"2005",1
60707,"2006",2
60707,"2009",1
60707,"2010",6
60707,"2012",2
60707,"2013",1
60707,"2014",3
60707,"2015",4
60707,"2016",1
60707,"2017",7
60707,"2018",2
60707,"2019",1
60707,"2020",7
60707,"2021",5
60707,"2022",1
60827,"1991",9
60827,"1992",18
60827,"1993",5
60827,"1994",7
60827,"1995",11
60827,"1996",7
60827,"1997",4
60827,"1998",6
60827,"1999",5
60827,"2000",8
60827,"2001",2
60827,"2002",2
60827,"2003",4
60827,"2004",3
60827,"2005",2
60827,"2006",8
60827,"2007",2
60827,"2008",3
60827,"2009",2
60827,"2010",19
60827,"2011",16
60827,"2012",17
60827,"2013",10
60827,"2014",36
60827,"2015",27
60827,"2016",30
