"zip_code","year","avg.house_price"
"60625","2011",293430.25
"60625","2012",278700.833333333
"60625","2013",303872.083333333
"60625","2014",331047.083333333
"60625","2015",339704.083333333
"60625","2016",357558.5
"60625","2017",371981.666666667
"60625","2018",382038.75
"60625","2019",373710.666666667
"60625","2020",383768.583333333
"60625","2021",411152.666666667
"60626","2000",147993.916666667
"60626","2001",169774.916666667
"60626","2002",192266.583333333
"60626","2003",207775.75
"60626","2004",223279.5
"60626","2005",244702.333333333
"60626","2006",262220.166666667
"60626","2007",265207.583333333
"60626","2008",256671
"60626","2009",226508.166666667
"60626","2010",209654.583333333
"60626","2011",171849.833333333
"60626","2012",144934.833333333
"60626","2013",149871.916666667
"60626","2014",168165.833333333
"60626","2015",182473.916666667
"60626","2016",194814.916666667
"60626","2017",205213
"60626","2018",213182.333333333
"60626","2019",214846.083333333
"60626","2020",219708.916666667
"60626","2021",235892.333333333
"60628","2000",91083.3333333333
"60628","2001",95428.25
"60628","2002",100785.916666667
"60628","2003",108046
"60628","2004",117393.083333333
"60628","2005",130033.333333333
"60628","2006",141286.833333333
"60628","2007",146999.75
"60628","2008",140473.416666667
"60628","2009",122717.5
"60628","2010",108400.583333333
"60628","2011",89136.9166666667
"60628","2012",70233.4166666667
"60628","2013",61093.3333333333
"60628","2014",67585.25
"60628","2015",72521.5833333333
"60628","2016",80597.4166666667
"60628","2017",95044.0833333333
"60628","2018",112205.916666667
"60628","2019",120055.75
"60628","2020",123900.583333333
"60628","2021",147269.333333333
"60629","2000",138456.333333333
"60629","2001",154264.666666667
"60629","2002",170402.166666667
"60629","2003",190749.833333333
"60629","2004",213158.416666667
"60629","2005",242254.833333333
"60629","2006",267723.083333333
"60629","2007",271654.666666667
"60629","2008",243541.916666667
"60629","2009",185920.5
"60629","2010",159384.5
"60629","2011",137375.916666667
"60629","2012",123024.833333333
"60629","2013",128751.166666667
"60629","2014",144286.666666667
"60629","2015",154170
"60629","2016",168351.083333333
"60629","2017",183283.666666667
"60629","2018",194085.333333333
"60629","2019",203278.916666667
"60629","2020",211554.083333333
"60629","2021",235168.833333333
"60630","2000",230814.5
"60630","2001",265104.416666667
"60630","2002",289214
"60630","2003",314542.833333333
"60630","2004",342817.333333333
"60630","2005",385624.5
"60630","2006",419477.5
"60630","2007",411409
"60630","2008",370293.583333333
"60630","2009",307319.666666667
"60630","2010",282944.416666667
"60630","2011",258659.083333333
"60630","2012",247118.416666667
"60630","2013",263850.166666667
"60630","2014",293643.833333333
"60630","2015",305139.666666667
"60630","2016",317776.166666667
"60630","2017",334306.416666667
"60630","2018",339758.083333333
"60630","2019",336544.75
"60630","2020",339569.666666667
"60630","2021",366586.333333333
"60631","2000",263379.416666667
"60631","2001",288724.75
"60631","2002",314170
"60631","2003",343815.75
"60631","2004",376935.75
"60631","2005",419889.333333333
"60631","2006",452711.666666667
"60631","2007",449027.5
"60631","2008",415298.833333333
"60631","2009",348937.25
"60631","2010",322002.5
"60631","2011",299524.916666667
"60631","2012",289340.25
"60631","2013",314300.666666667
"60631","2014",338890.083333333
"60631","2015",350165.333333333
"60631","2016",358871.833333333
"60631","2017",375305.666666667
"60631","2018",376721.666666667
"60631","2019",370843.166666667
"60631","2020",375071.75
"60631","2021",398356.916666667
